Megachile albitarsis,Sabal etonia
Exomalopsis solani,Kallstroemia grandiflora
Lepidoptera,Ilex coriacea
Lepidoptera,Comandra umbellata
Wind,Artemisia dracunculus
Insecta,Echinocystis lobata
Hylaeus,Sesbania tomentosa
Lepidoptera,Catalpa speciosa
Diptera,Ilex mucronata
Geron,Clinopodium ashei
Bombus flavifrons,Corydalis caseana
Bees,Crataegus mollis
Diptera,Rudbeckia laciniata
Bradysia,Malaxis unifolia
Coleoptera,Asimina parviflora
Lepidoptera,Erythrina herbacea
Culicidae,Polygala lewtonii
Sphingidae,Trichostema lanatum
Bees,Amelanchier arborea
Osmia lignaria,Cercis occidentalis
Bees,Silene stellata
Bees,Ilex verticillata
Bees,Castilleja applegatei
Coleoptera,Viburnum nudum
Ceratina calcarata,Cypripedium parviflorum var. pubescens
Speyeria zerene hippolyta,Viola adunca
Halictidae,Eschscholzia californica
Bees,Erythronium americanum
Bombus,Ipomopsis globularis
Wasps,Malaxis unifolia
Stratiomys nevadae,Zigadenus paniculatus
Stratiomys barbata,Zigadenus paniculatus
Lepidoptera,Hylotelephium telephioides
Bees,Canavalia pubescens
Lepidoptera,Echinacea purpurea
Bees,Illicium floridanum
Coleoptera,Sambucus nigra ssp. canadensis
Osmia proxima,Galearis spectabilis
Bees,Cynoglossum officinale
Bees,Wyethia amplexicaulis
Trochilidae,Aquilegia canadensis
Apis,Trifolium pratense
Trochilidae,Sambucus racemosa
Bees,Arnica cordifolia
Self pollinated,Liparis loeselii
Wasps,Symphyotrichum ericoides
Halictidae,Lepidium papilliferum
Lepidoptera,Polanisia dodecandra
Diptera,Ptelea trifoliata
Eucera,Arctostaphylos pungens
Ptilothrix bombiformis,Hibiscus dasycalyx
Diptera,Lactuca serriola
Diptera,Mirabilis rotundifolia
Bombus,Verbascum thapus
Bombus,Iris missouriensis
Manduca sexta,Petunia axillaris
Wasps,Broussaisia arguta
Bees,Styrax grandifolius
Coleoptera,Malacothamnus fasciculatus
Bees,Hamamelis vernalis
Bees,Vaccinium ovatum
Coleoptera,Papaver orientale
Halictus,Physaria filiformis
Bees,Crataegus crus-galli
Bees,Prunus mexicana
Self pollinated,Limonium vulgare
Eristalis,Raphanus sativus
Bees,Alyxia stellata
Megachilidae,Prunus virginiana
Birds,Hibiscus waimeae
Bees,Heuchera americana
Bees,Cornus drummondii
Bees,Vernonia gigantea
Danaus plexippus,Asclepias incarnata
Syrphidae,Limonium otolepis
Apis,Cypripedium parviflorum
Manduca quincemaculata,Peniocereus striatus
Self pollinated,Symphyotrichum novae-angliae
Bombyliidae,Thymophylla tephroleuca
Lasioglossum occidens,Achyranthes bidentata
Bees,Hydrolea ovata
Papilio,Asclepias incarnata
Diptera,Arctostaphylos glandulosa
Diptera,Pittosporum hosmeri
Tenthredinidae,Lobularia maritima
Bees,Camissonia campestris
Thricops septentrionalis,Geum peckii
Apis mellifera,Sclerocactus brevihamatus ssp. tobuschii
Anthophora urbana,Trichostema lanceolatum
Lepidoptera,Tradescantia ohiensis
Lepidoptera,Crataegus monogyna
Apis cerana,Impatiens trichocarpa
Diptera,Aquilegia coerulea
Diptera,Rubus parviflorus
Bombus,Delphinium viridescens
Bees,Paeonia brownii
Megachile,Ferocactus wislizeni
Trochilidae,Bouvardia ternifolia
Lepidoptera,Amelanchier utahensis
Cantharidae,Argemone pleiacantha
Coleoptera,Stewartia ovata
Osmia lignaria,Pyrus communis
Bees,Viburnum nudum
Andrena pensilis,Blennosperma bakeri
Lepidoptera,Berberis repens
Bees,Echinocactus horizonthalonius
Lepidoptera,Physocarpus amurensis
Muscidae,Dryas octopetala
Apis mellifera,Trillium grandiflorum
Bees,Romneya coulteri
Diptera,Euonymus americanus
Sphingidae,Agave parryi
Satyrus ferula,Dianthus carthusianorum
Melissodes tristis,Callirhoe involucrata
Lepidoptera,Rhododendron calendulaceum
Apis mellifera,Stylisma pickeringii var. pattersonii
Bees,Sabal maritima
Hemiptera,Achillea millefolium
Lepidoptera,Oenothera filiformis
Eupeodes lapponicus,Galearis rotundifolia
Trochilidae,Delphinium cardinale
Insecta,Philadelphus lewisii
Bees,Eriogonum brandegeei
Coleoptera,Calochortus splendens
Osmia atriventris,Conradina verticillata
Bombyliidae,Polygonella basiramia
Wind,Thalictrum dasycarpum
Lepidoptera,Scaevola kilaueae
Pieris rapae,Raphanus sativus
Diadasia afflicta,Callirhoe scabriuscula
Euploea core,Impatiens trichocarpa
Bees,Actaea racemosa
Bees,Polemonium viscosum
Ceratina dupla,Marrubium vulgare
Hoplitis,Amorpha canescens
Diptera,Polyscias hawaiensis
Augochlorella aurata,Cypripedium candidum
Diptera,Myoporum sandwicense
Melecta,Salvia mellifera
Lepidoptera,Eurybia spectabilis
Lepidoptera,Viburnum nudum
Trochilidae,Agastache pallidiflora
Lepidoptera,Crataegus douglasii
Melissodes communis,Jacquemontia reclinata
Bees,Cercis occidentalis
Megachile melanophaea,Cypripedium reginae
Bees,Eriogonum corymbosum var. velutinum
Lasioglossum,Solanum violaceum
Wasps,Phoradendron serotinum
Melyridae,Dudleya multicaulis
Lepidoptera,Thelesperma subnudum
Staphylinidae,Trillium ovatum
Bombus lapidarius,Silene flos-cuculi
Halictus,Pyxidanthera barbulata
Apomixis,Bonamia grandiflora
Apis,Phaseolus coccineus
Bees,Eremogone congesta var. congesta
Hymenoptera,Symphyotrichum laeve var. concinnum
Megachile amica,Callirhoe involucrata
Apis,Vicia faba
Ceratina,Salvia mellifera
Papilio polyxenes,Platanthera ciliaris
Lepidoptera,Styrax redivivus
Hyles lineata,Peniocereus striatus
Bees,Prunella vulgaris
Lepidoptera,Trillium grandiflorum
Macroglossum,Impatiens cuspidata
Apis,Eutrochium maculatum
Halictus tripartitus,Blennosperma bakeri
Apis mellifera,Opuntia macrocentra
Lepidoptera,Aronia arbutifolia
Bombus borealis,Cypripedium acaule
Halictus,Daucus carota
Lepidoptera,Mezonevron kavaiense
Lepidoptera,Rubus odoratus
Bees,Coprosma ernodeoides
Wind,Platanus occidentalis
Sesiidae,Oxytropis lambertii
Apis,Styrax grandifolius
Lepidoptera,Artemisia mauiensis
Trochilidae,Malacothamnus fasciculatus
Copestylum florida,Clinopodium ashei
Halictidae,Polygonella basiramia
Coleoptera,Cornus alternifolia
Apis,Raphanus raphanistrum
Coleoptera,Asarum canadense
Bees,Penstemon canescens
Eucalliphora,Adolphia infesta
Wind,Cyclachaena xanthifolia
Coleoptera,Balsamorhiza sagittata
Bombus,Taraxacum officinale
Augochlorella,Ferocactus cylindraceus
Lepidoptera,Helianthus angustifolius
Bees,Portulaca molokiniensis
Apis mellifera,Arctomecon humilis
Lepidoptera,Amsonia ciliata
Lepidoptera,Diervilla rivularis
Hoplitis,Thermopsis lanceolata
Lepidoptera,Abutilon eremitopetalum
Coleoptera,Eschscholzia californica
Bombus pensylvanicus,Chloropyron maritimum ssp. maritimus
Bees,Ilex ambigua
Osmia,Penstemon griffinii
Lasioglossum,Purshia X subintegra
Diptera,Viburnum acerifolium
Bees,Lithophragma heterophyllum
Bombus pascuorum,Stachys sylvatica
Bombus,Eutrochium maculatum
Apis,Foeniculum vulgare
Bees,Echinocereus triglochidiatus
Bees,Pisonia umbellifera
Bombus impatiens,Cypripedium acaule
Sphingidae,Oenothera cespitosa
Lepidoptera,Astragalus drummondii
Bees,Broussaisia arguta
Bees,Magnolia obovata
Lepidoptera,Myosotis asiatica
Erynnis,Warea amplexifolia
Anthophora abrupta,Asclepias meadii
Wasps,Paeonia brownii
Bombus fervidus,Calopogon tuberosus
Muscidae,Apocynum androsaemifolium
Danaus plexippus,Asclepias uncialis
Bees,Halesia diptera
Diptera,Scaevola chamissoniana
Bees,Wikstroemia phillyreifolia
Lasioglossum,Solanum melongena
Conotelus obscurus,Amsonia grandiflora
Trochilidae,Rhododendron austrinum
Formicidae,Gazania krebsiana
Xylocopa,Oenothera cespitosa
Wasps,Phacelia imbricata
Bombus,Styrax grandifolius
Lepidoptera,Monarda didyma
Bees,Chaenomeles japonica
Bombus,Fragaria chiloensis
Scarabaeidae,Viburnum opulus
Wasps,Monarda punctata var. punctata
Diptera,Opuntia phaeacantha
Sphingidae,Delphinium nuttallianum
Bees,Leptosiphon parviflorus
Bombus flavifrons,Hedysarum boreale
Ashmeadiella opuntiae,Ferocactus wislizeni
Diptera,Vaccinium reticulatum
Bees,Abronia bigelovii
Bees,Geum triflorum
Lepidoptera,Scaevola taccada
Coleoptera,Trientalis borealis
Bees,Mentzelia densa
Trochilidae,Penstemon rydbergii
Diptera,Potentilla fruticosa
Lepidoptera,Pittosporum confertiflorum
Sphingidae,Zephyranthes atamasco
Augochlora,Capsicum frutescens
Diadasia rinconis,Opuntia macrocentra
Bees,Salvia pratensis
Bombus,Antirrhinum majus
Sphingidae,Erythrostemon gilliesii
Apis mellifera,Pityopsis ruthii
Bees,Solidago missouriensis
Birds,Chrysodracon hawaiiensis
Byturus unicolor,Magnolia tripetala
Bees,Amsonia ciliata
Bombus fervidus,Mirabilis macfarlanei
Diptera,Ceanothus crassifolius
Wasps,Berberis fremontii
Bees,Aesculus californica
Bombus flavifrons,Rudbeckia occidentalis
Augochloropsis metallica,Solanum melongena
Bees,Adenostoma fasciculatum
Lepidoptera,Solidago velutina ssp. califonica
Insecta,Berberis repens
Bees,Iris verna var. verna
Hymenoptera,Ranunculus acriformis var. aestivalis
Bees,Teucrium chamaedrys
Anthophoridae,Astragalus schmolliae
Cerambycidae,Toxicodendron rydbergii
Bees,Geum rivale
Augochlorella aurata,Goodyera pubescens
Formicidae,Lobularia maritima
Osmia tristella,Astragalus agnicidus
Diptera,Sagittaria latifolia
Bees,Valeriana edulis
Insecta,Valeriana edulis
Self pollinated,Synandra hispidula
Bees,Rumex giganteus
Lepidoptera,Eurybia divaricata
Callophrys gryneus,Physaria filiformis
Lepidoptera,Capparis sandwichiana
Bees,Rhododendron occidentale
Bees,Robinia neomexicana
Bombus impatiens,Desmodium paniculatum
Bees,Purshia tridentata
Cecidomyiidae,Malaxis unifolia
Bombus pensylvanicus,Marrubium vulgare
Bees,Mitchella repens
Apis florea,Impatiens trichocarpa
Bees,Sagittaria latifolia
Osmia pumila,Conradina verticillata
Lepidoptera,Viburnum dentatum
Diptera,Symphyotrichum cordifolium
Bees,Pediocactus knowltonii
Bees,Calochortus splendens
Melissodes intorta,Callirhoe involucrata
Bombus,Oxytropis lambertii
Birds,Sophora chrysophylla
Coleoptera,Apocynum cannabinum
Self pollinated,Echinocystis lobata
Carpophilus pallipennis,Argemone hispida
Diptera,Scaevola gaudichaudiana
Hymenoptera,Rudbeckia laciniata
Lepidoptera,Psychotria mariniana
Bombus lucorum,Limonium vulgare
Osmia,Crepis atribarba
Bombus,Opuntia polyacantha
Diptera,Berberis fremontii
Bees,Salvia azurea
Syrphidae,Berteroa incana
Lepidoptera,Erythrostemon gilliesii
Copidosoma bakeri,Arceuthobium vaginatum ssp. cryptopodum
Bombus fervidus,Platanthera blephariglottis
Bombus fervidus,Galearis spectabilis
Bees,Symphyotrichum novae-angliae
Bees,Trichostema lanatum
Insecta,Artemisia frigida
Bombus,Ipomopsis aggregata
Bees,Chionanthus virginicus
Apis mellifera,Ipomopsis globularis
Bees,Erythronium rostratum
Coleoptera,Bidens aristosa
Bombyliidae,Dudleya brevifolia
Lepidoptera,Monardella odoratissima
Diptera,Verbena lasiostachys
Trochilidae,Castilleja exserta
Bombus,Pontederia cordata
Thymelicus,Dianthus carthusianorum
Bombus impatiens,Mimulus ringens
Apis mellifera,Asclepias verticillata
Diptera,Gilia capitata
Bees,Packera plattensis
Bees,Ceanothus fendleri
Tachinidae,Myosotis colensoi
Augochlorella,Ferocactus wislizeni
Lepidoptera,Pittosporum hawaiiense
Diptera,Magnolia tripetala
Bees,Hibiscus waimeae
Zosterops japonicus,Hibiscadelphus giffardianus
Bombus occidentalis,Corydalis caseana
Bombyliidae,Gilia achilleifolia
Colias philodice,Echinacea angustifolia
Bombus impatiens,Pityopsis ruthii
Halictidae,Ferocactus cylindraceus
Diptera,Helianthus maximiliani
Coleoptera,Prunus angustifolia
Diptera,Scaevola coriacea
Diptera,Erigeron speciosus
Prenolepis imparis,Pyxidanthera barbulata
Bees,Noccaea fendleri ssp. glauca
Euxoa aurulenta,Asclepias welshii
Halictidae,Rudbeckia triloba
Sphex ichneumoneus,Asclepias sullivantii
Bees,Penstemon virgatus
Erynnis telemachus,Viola canadensis var. scopulorum
Polistes fuscatus,Solidago altissima
Bees,Flueggea flexuosa
Lepidoptera,Cephalanthus occidentalis
Birds,Sesbania tomentosa
Lepidoptera,Dichelostemma ida-maia
Drepanis coccinea,Cyanea shipmanii
Bees,Vitex rotundifolia
Bees,Crataegus monogyna
Wasps,Cirsium ownbeyi
Diptera,Sibbaldia procumbens
Lepidoptera,Helianthus maximiliani
Linepithema humile,Pyxidanthera barbulata
Bees,Rhus integrifolia
Bees,Lythrum salicaria
Diptera,Viburnum rufidulum
Bees,Packera aurea
Lepidoptera,Tiarella cordifolia
Diptera,Spiraea alba
Svastra duplocincta,Ferocactus wislizeni
Trochilidae,Malva assurgentiflora
Coleoptera,Sidalcea malviflora
Lepidoptera,Impatiens cuspidata
Megachile campanulae,Campanula americana
Lepidoptera,Eutrochium purpureum
Apis,Sphaeralcea coccinea
Apis mellifera,Clinopodium ashei
Lepidoptera,Lomatium dissectum
Self pollinated,Persicaria pensylvanica
Lepidoptera,Phemeranthus calycinus
Anthrenus verbasci,Magnolia tripetala
Bees,Delphinium nudicaule
Self pollinated,Conyza canadensis
Lepidoptera,Passiflora incarnata
Diptera,Vaccinium calycinum
Diptera,Sapindus oahuensis
Halictidae,Synthyris bullii
Bees,Downingia cuspidata
Halictidae,Physaria obcordata
Coleoptera,Rubus parviflorus
Diptera,Purshia tridentata
Bees,Silene virginica
Hoplitis,Brodiaea pallida
Lepidoptera,Brickellia californica
Bees,Geranium viscosissimum
Megachile bicolor,Sesbania sesban
Lepidoptera,Callirhoe involucrata
Bees,Lobelia cardinalis
Bombus,Arctostaphylos uva-ursi
Self pollinated,Physalis pubescens
Lithurgus gibbosus,Opuntia humifusa
Lepidoptera,Phlox longifolia
Lepidoptera,Xerophyllum tenax
Hymenoptera,Carduus nutans
Eristalis hirta,Hymenoxys grandiflora
Lepidoptera,Symphyotrichum laeve var. concinnum
Syrphidae,Hesperidanthus suffrutescens
Thricops villicrura,Saussurea weberi
Bees,Limonium gerberi
Self pollinated,Papaver orientale
Bees,Lasthenia californica
Lepidoptera,Ipomopsis aggregata
Passeriformes,Erythrina poeppigiana
Bombus,Aquilegia coerulea
Bees,Symphoricarpos albus
Apis,Tribulus terrestris
Bees,Helianthus hirsutus
Apis,Lythrum salicaria
Diptera,Ceanothus oliganthus
Bees,Echinacea angustifolia
Bombus,Sidalcea neomexicana
Diptera,Astelia menziesiana
Lepidoptera,Dasiphora fruticosa
Anthidiellum,Desmodium setigerum
Eristalis,Narcissus pseudonarcissus
Bees,Bartonia texana
Hyles lineata,Eriastrum densifolium
Lepidoptera,Psychotria greenwelliae
Bees,Amsonia tabernaemontana
Bees,Magnolia virginiana
Bees,Ribes curvatum
Diptera,Barbarea vulgaris
Syrphidae,Ceanothus fendleri
Coleoptera,Fritillaria pudica
Hymenoptera,Anacardium occidentale
Bees,Phacelia ciliata
Bees,Mertensia ciliata
Lepidoptera,Drymocallis glandulosa var. glandulosa
Coleoptera,Arisaema trifoliatum
Insecta,Oenothera pallida
Bees,Penstemon cyananthus
Bombus,Prunus americana
Halictidae,Harperocallis flava
Lepidoptera,Leucothoe fontanesiana
Diptera,Pittosporum hawaiiense
Bees,Vachellia nilotica
Bees,Antidesma platyphyllum
Apis,Prunus amygdalus
Agapostemon,Acanthomintha ilicifolia
Self pollinated,Dalea purpurea var. purpurea
Augochlorella,Ipomopsis globularis
Self pollinated,Valerianella radiata
Bombus,Tetraneuris acaulis
Lepidoptera,Euphorbia celastroides var. kaenana
Diptera,Viburnum prunifolium
Diptera,Lomatium dissectum
Bees,Ribes aureum
Apis,Acanthomintha ilicifolia
Lepidoptera,Hibiscus brackenridgei
Bees,Trichostema dichotomum
Melanargia galathea,Dianthus carthusianorum
Bees,Arctostaphylos edmundsii
Trochilidae,Dudleya pulverulenta
Xylocopa,Lythrum alatum
Andrena,Pyrus malus
Diptera,Erigeron maguirei
Apis mellifera,Asclepias incarnata
Bees,Ratibida columnifera
Conanthalictus,Acanthomintha ilicifolia
Tetralonia,Fremontodendron decumbens
Megachile,Rudbeckia triloba
Lepidoptera,Allium fimbriatum
Lasioglossum,Oenothera cespitosa
Bombus,Papaver orientale
Bees,Lupinus albifrons
Coleoptera,Crataegus marshallii
Bees,Liatris spicata var. spicata
Coleoptera,Cornus nuttallii
Macropis nuda,Apocynum androsaemifolium
Diptera,Fagopyrum esculentum
Bees,Primula jeffreyi
Wasps,Rudbeckia hirta
Lepidoptera,Apocynum cannabinum
Drepanis coccinea,Clermontia pyrularia
Coleoptera,Asclepias sullivantii
Bees,Gaillardia pulchella
Andrena arabis,Turritis glabra
Syrphidae,Achillea millefolium
Bees,Ilex coriacea
Bombus terrestris,Corydalis cava
Exoprosopa fasciata,Dicerandra frutescens
Andrena erigeniae,Claytonia virginica
Insecta,Ephedra viridis
Diptera,Diospyros hillebrandii
Bees,Hibiscus laevis
Halictidae,Sagittaria trifolia
Bombus,Primula conjugens var. conjugens
Melissodes tepida timberlakei,Chloropyron maritimum ssp. maritimus
Sphingidae,Manfreda brachystacha
Insecta,Calochortus nuttallii
Bees,Trientalis borealis
Self pollinated,Phaseolus vulgaris
Lepidoptera,Silene virginica
Diptera,Spiraea japonica
Halictus,Salvia mellifera
Bees,Dalea candida
Orthoptera,Helianthus schweinitzii
Bees,Hypericum prolificum
Anthophorula nitens,Pogogyne abramsii
Bees,Dudleya nesiotica
Andrena,Solidago altissima
Anthophoridae,Echinocereus enneacanthus ssp. enneacanthus
Halictidae,Nepeta cataria
Bees,Anemone acutiloba
Lepidoptera,Symphyotrichum undulatum
Bees,Eriogonum fasciculatum var. polifolium
Lepidoptera,Lobelia siphilitica
Syrphidae,Hesperis matronalis
Bombus impatiens,Conradina verticillata
Bees,Chaenactis glabriuscula
Lepidoptera,Lonicera involucrata
Xenoglossa strenua,Cucurbita pepo
Andrenidae,Berberis pinnata ssp. pinnata
Trochilidae,Diervilla sessilifolia
Trochilidae,Ribes menziesii
Lepidoptera,Verbena lasiostachys
Bees,Magnolia acuminata
Palpada vinetorum,Jacquemontia reclinata
Osmia,Salvia mellifera
Hymenoptera,Lactuca serriola
Wind,Plantago lanceolata
Lepidoptera,Ceanothus americanus
Diptera,Arnica cordifolia
Wasps,Crataegus mollis
Apis mellifera,Ferocactus wislizeni
Diptera,Actaea racemosa
Bombus,Napaea dioica
Bees,Amelanchier spicata
Coleoptera,Malva moschata
Bombus,Catalpa speciosa
Bombylius major,Claytonia virginica
Syrphidae,Eriophyllum latilobum
Bees,Verbena stricta
Diptera,Polyscias racemosa
Diptera,Frasera speciosa
Xylocopa,Heliotropium anomalum
Insecta,Iliamna rivulari
Wasps,Eupatorium resinosum
Bees,Morella cerifera
Self pollinated,Eutrochium purpureum
Bees,Scrophularia californica
Sphingidae,Brunfelsia lactea
Coleoptera,Helianthus hirsutus
Nomada,Arctostaphylos pungens
Bombus pensylvanicus,Napaea dioica
Lepidoptera,Dichelostemma capitatum
Bees,Trillium grandiflorum
Euphydryas anicia hermosa,Asclepias welshii
Lepidoptera,Linum berlandieri
Apis,Vernonia noveboracensis
Bombus,Bignonia capreolata
Osmia brevis,Penstemon debilis
Anthidium edwardsii,Chloropyron maritimum ssp. maritimus
Lepidoptera,Halesia carolina
Diptera,Smilax melastomifolia
Lepidoptera,Anaphalis margaritacea
Bees,Viburnum rufidulum
Bees,Monarda punctata
Bees,Liatris elegans
Bees,Maianthemum racemosum
Lasioglossum,Ipomopsis globularis
Epuraea horni,Magnolia ashei
Bombus,Maianthemum canadense
Syrphidae,Paeonia brownii
Bombus appositus,Aconitum columbianum
Bees,Ceanothus americanus
Bombus perplexus,Goodyera repens
Lasioglossum,Lygodesmia juncea
Coleoptera,Viburnum dentatum
Insecta,Vaccinium vitis-idaea
Bees,Ilex longipes
Bees,Salvia glutinosa
Trochilidae,Heteromeles arbutifolia
Euphoria kernii,Callirhoe involucrata
Bombus griseocollis,Asclepias viridiflora
Lasioglossum,Acanthomintha ilicifolia
Bombus,Prunella vulgaris
Anthophoridae,Calochortus macrocarpus var. maculosus
Trochilidae,Lilium occidentale
Rediviva neliana,Lysimachia punctata
Coleoptera,Barbarea vulgaris
Anthophora,Solanum lycopersicum
Coleoptera,Dasiphora fruticosa
Bees,Arctostaphylos tomentosa
Bombus,Pedicularis procera
Bees,Hibiscus clayi
Bees,Ruellia humilis
Bees,Phlox bifida
Bees,Cephalanthus occidentalis
Passeriformes,Erythrina fusca
Bombus,Castilleja pulchella
Insecta,Viola nuttallii
Bees,Viburnum acerifolium
Lepidoptera,Penstemon griffinii
Tetralonia,Townsendia aprica
Bees,Asclepias syriaca
Bees,Penstemon cobaea
Bees,Eutrochium purpureum
Bees,Eurybia macrophylla
Coleoptera,Asimina triloba
Polistes,Nigella sativa
Bembix,Medicago sativa
Lepidoptera,Bartonia texana
Megachile latimanus,Asclepias incarnata
Bees,Salix exigua
Bees,Hibiscus kokio
Danaus plexippus,Platanthera ciliaris
Apis,Tradescantia occidentalis
Bees,Dudleya virens
Bees,Salvia mellifera
Andrena angustitarsata,Blennosperma bakeri
Megachile brevis,Asclepias uncialis
Diptera,Aristolochia macrophylla
Halictus confusus,Sclerocactus brevispinus
Squamata,Erythrina velutina
Trochilidae,Penstemon whippleanus
Lasioglossum,Hypericum perforatum
Bees,Symplocos tinctoria
Diptera,Hexastylis shuttleworthii var. shuttleworthii
Bees,Sanicula bipinnatifida
Lepidoptera,Mentzelia decapetala
Lasius niger,Asclepias exaltata
Halictidae,Cypripedium montanum
Bees,Impatiens capensis
Bombus,Penstemon degeneri
Bombus fervidus,Impatiens capensis
Vespidae,Parnassia palustris
Bombus nevadensis,Silene spaldingii
Apis mellifera,Salvia mellifera
Bombus fernaldae,Cypripedium acaule
Diptera,Jacquemontia ovalifolia
Coleoptera,Symplocarpus foetidus
Trochilidae,Liatris spicata
Agapostemon texanus,Physaria filiformis
Lepidoptera,Phlox drummondii
Insecta,Tribulus terrestris
Bees,Mertensia franciscana
Diptera,Arctostaphylos pringlei
Plebejus melissa,Astragalus applegatei
Bombus honshuensis,Clematis stans
Bombus,Lupinus monticola
Agapostemon splendens,Sabal palmetto
Bees,Echeandia texensis
Bombus,Argemone pleiacantha
Osmia,Hydrophyllum canadense
Bombus,Trillium ovatum
Bombus,Silene acaulis
Apis,Gaylussacia baccata
Bees,Symphyotrichum ericoides
Self pollinated,Argemone mexicana
Lepidoptera,Silphium laciniatum
Wasps,Crataegus crus-galli
Bees,Aconitum uncinatum
Self pollinated,Lycium barbarum
Bees,Silphium integrifolium
Diptera,Lepidium campestre
Bombus,Epilobium danielsii
Apis,Corydalis flavula
Bees,Clematis hirsutissima
Diptera,Galax urceolata
Bees,Lewisia rediviva
Diptera,Gentianella amarella ssp. acuta
Bees,Layia glandulosa
Diptera,Impatiens cuspidata
Amegilla fallax,Desmodium setigerum
Coleoptera,Rudbeckia triloba
Hadena,Silene vulgaris
Hylaeus,Physaria filiformis
Insecta,Mentzelia laevicaulis
Diptera,Packera aurea
Bees,Oenothera harringtonii
Insecta,Echinocereus triglochidiatus
Bees,Crescentia alata
Bees,Pyxidanthera barbulata
Diptera,Asclepias incarnata
Bees,Berberis fremontii
Diptera,Helenium puberulum
Coleoptera,Symphyotrichum oblongifolium
Perizoma,Silene latifolia
Wind,Ambrosia chamissonis
Lepidoptera,Asclepias eriocarpa
Andrena,Lomatium dissectum
Bees,Rumex skottsbergii
Apis,Sambucus nigra ssp. canadensis
Colias philodice,Platanthera blephariglottis
Bees,Solidago velutina ssp. califonica
Lasioglossum,Sabal mauritiiformis
Hymenoptera,Allium gooddingii
Apis,Eschscholzia californica
Eucera,Conradina verticillata
Pieris rapae,Asclepias incarnata
Sphex ichneumoneus,Asclepias uncialis
Bees,Arbutus menziesii
Lepidoptera,Oxydendrum arboreum
Trochilidae,Dudleya cymosa
Bees,Alnus serrulata
Syrphidae,Cirsium arvense
Trochilidae,Lathyrus vestitus var. ochropetalus
Self pollinated,Taraxacum officinale
Trochilidae,Aesculus flava
Bombus impatiens,Napaea dioica
Self pollinated,Turritis glabra
Wind,Alnus serrulata
Bees,Liriodendron tulipifera
Colletes susannae,Dalea purpurea
Diptera,Sedum lanceolatum
Lasioglossum,Chloropyron palmatum
Bees,Diplacus aurantiacus
Bees,Prunus virginiana
Theretra,Hemerocallis citrina
Andrena aliciae,Rudbeckia auriculata
Hymenoptera,Arctostaphylos pringlei
Bees,Astelia menziesiana
Megachile montivaga,Cirsium pumilum var. hillii
Bombus griseocollis,Asclepias incarnata
Hadena,Silene latifolia
Vespidae,Lobularia maritima
Coleoptera,Argemone polyanthemos
Colletes,Solanum dulcamara
Lepidoptera,Fothergilla major
Lasioglossum,Daucus carota
Apis,Pyrus communis
Diptera,Argemone pleiacantha
Bombus,Lupinus westianus var. aridorum
Calypte anna,Eriastrum densifolium
Bombus,Gentiana affinis
Diptera,Scaevola taccada
Bees,Aquilegia canadensis
Syrphidae,Dianthus deltoides
Apis,Monarda fistulosa
Trichodes ornatus,Potentilla gracilis
Bees,Gleditsia triacanthos
Bombus,Mimulus lewisii
Lepidoptera,Scaevola gaudichaudiana
Coleoptera,Helianthus maximiliani
Augochloropsis metallica,Solanum violaceum
Trochilidae,Ipomoea coccinea
Syrphidae,Ludwigia peploides ssp. glabrescens
Self pollinated,Sambucus nigra ssp. canadensis
Lasioglossum,Lysimachia ciliata
Lepidoptera,Dianthus carthusianorum
Coleoptera,Symphyotrichum laeve var. concinnum
Lepidoptera,Yucca glauca
Papilio glaucus,Platanthera blephariglottis
Halictidae,Linaria vulgaris
Thricops,Heracleum sphondylium ssp. montanum
Diptera,Linum berlandieri
Self pollinated,Tribulus terrestris
Hyles lineata,Oenothera cespitosa
Urbanus proteus,Apios priceana
Lepidoptera,Tumamoca macdougalii
Lepidoptera,Cirsium ownbeyi
Lepidoptera,Philadelphus pubescens
Lepidoptera,Heuchera villosa
Bombus griseocollis,Asclepias syriaca
Ancyloscelis,Acanthomintha ilicifolia
Andrena,Liatris aspera
Apidae,Agnorhiza reticulata
Insecta,Phaseolus vulgaris
Lepidoptera,Fallugia paradoxa
Xylocopa californica arizonensis,Argemone pleiacantha
Pieris rapae,Lythrum salicaria
Lepidoptera,Malva assurgentiflora
Nomia,Sesbania sesban
Pieris rapae,Dieteria canescens
Diptera,Bidens aristosa
Lepidoptera,Coreopsis gladiata
Lepidoptera,Solidago caesia
Augochlorella,Oxytropis lambertii
Trochilidae,Ribes aureum
Apis,Pycnanthemum tenuifolium
Anthophoridae,Vernonia baldwinii
Trochilidae,Aliciella subnuda
Insecta,Arctostaphylos patula
Macroglossum variegatum,Impatiens cuspidata
Polistes fuscatus,Asclepias verticillata
Bees,Ivesia gordonii
Svastra,Ludwigia peploides ssp. glabrescens
Bees,Trillium recurvatum
Bombus,Solanum melongena
Bees,Apios americana
Lepidoptera,Polyscias hawaiensis
Apis,Hesperis matronalis
Bombus pensylvanicus,Cirsium pumilum var. hillii
Bees,Rhus sandwicensis
Bees,Scaevola kilaueae
Bombus lapidarius,Solanum lycopersicum
Lepidoptera,Myrsine sandwicensis
Diadasia rinconis,Astrophytum asterias
Drepanis coccinea,Clermontia lindseyana
Syrphidae,Symphoricarpos albus
Aleochara,Magnolia tripetala
Lepidoptera,Artemisia tridentata
Bombus huntii,Actaea arizonica
