Megachile albitarsis,Sabal etonia
Agapostemon,Lygodesmia juncea
Wind,Rhynchospora macrostachya
Lepidoptera,Trichostema lanatum
Bees,Eremalche parryi
Colletes,Physalis philadelphica var. immaculata
Deidamia inscriptum,Abronia macrocarpa
Trochilidae,Penstemon speciosus
Wind,Schoenoplectus pungens
Insecta,Lomatium dissectum
Bees,Schwalbea americana
Hymenoptera,Salvia farinacea
Scotoleon minusculus,Oenothera cinerea
Coleoptera,Drymocallis glandulosa var. glandulosa
Apis mellifera,Callirhoe involucrata
Melissodes boltoniae,Boltonia decurrens
Wind,Sambucus nigra ssp. canadensis
Diptera,Ilex opaca
Bees,Rhus copallinum
Anthophila,Lygodesmia juncea
Cleridae,Acanthomintha ilicifolia
Bees,Ipomoea pes-caprae
Lepidoptera,Monarda punctata var. punctata
Halictidae,Purshia X subintegra
Cetoniinae,Magnolia obovata
Papilio rutulus,Lilium pardalinum
Insecta,Phacelia hastata
Perdita calochorti,Calochortus macrocarpus var. maculosus
Bombus,Arctostaphylos pringlei
Lasioglossum sisymbrii,Potentilla gracilis
Pieridae,Echinacea angustifolia
Diadasia,Sphaeralcea coccinea
Bees,Gentianella quinquefolia ssp. quinquefolia
Bees,Sisyrinchium vaginatum
Diptera,Nolina microcarpa
Bees,Dudleya abramsii
Lepidoptera,Tamarix chinensis
Andrena quintilis,Astragalus flexuosus
Self pollinated,Hydrophyllum canadense
Insecta,Mentzelia decapetala
Osmia laeta,Astragalus agnicidus
Lepidoptera,Stewartia malacodendron
Andrena quintilis,Amorpha canescens
Colias,Phlox glaberrima
Bombus,Lythrum salicaria
Rhingia,Silene flos-cuculi
Bombus appositus,Hymenoxys grandiflora
Sphecidae,Linnaea borealis
Coleoptera,Magnolia obovata
Diptera,Trillium grandiflorum
Lepidoptera,Myrsine lessertiana
Syrphidae,Abronia umbellata var. breviflora
Lepidoptera,Phlox divaricata ssp. divaricata
Vespidae,Jacquemontia reclinata
Diptera,Convolvulus arvensis
Megachilidae,Linnaea borealis
Bees,Ilex anomala
Musca domestica,Adolphia infesta
Lepidoptera,Asclepias sullivantii
Diptera,Ilex collina
Lepidoptera,Aquilegia canadensis
Bees,Liatris scariosa var. scariosa
Colias,Phlox pilosa
Lasioglossum tegulare,Jacquemontia reclinata
Trochilidae,Arctostaphylos edmundsii
Bombus,Dudleya greenei
Lasioglossum rohweri,Cypripedium parviflorum var. makasin
Bees,Gazania krebsiana
Bees,Styrax americanus
Bees,Phoradendron serotinum
Anthophorula nitens,Deinandra fasticulata
Lepidoptera,Achillea millefolium
Bees,Catalpa bignonioides
Epargyreus clarus,Platanthera blephariglottis
Halictidae,Echinocereus enneacanthus ssp. enneacanthus
Vanessa cardui,Liatris aspera
Bombyliidae,Jacquemontia reclinata
Hymenoptera,Eriogonum ovalifolium var. vineum
Lepidoptera,Berberis fremontii
Bees,Ceanothus thyrsiflorus
Bees,Helianthus angustifolius
Bombus,Robinia neomexicana
Lepidoptera,Rumex skottsbergii
Apis,Plantago major
Bombus,Tradescantia occidentalis
Coleoptera,Ceanothus cuneatus
Ceratina,Physaria filiformis
Halictidae,Gilia achilleifolia
Halictus,Arctostaphylos pungens
Chauliognathus,Verbena hastata
Diptera,Rudbeckia triloba
Staphylinidae,Linnaea borealis
Bees,Bignonia capreolata
Coleoptera,Asclepias speciosa
Lepidoptera,Rubus parviflorus
Bombus pensylvanicus,Asclepias purpurascens
Melissodes tepaneca,Callirhoe scabriuscula
Trochilidae,Campsis radicans
Colletidae,Linnaea borealis
Lepidoptera,Ruellia humilis
Coleomegilla maculata,Magnolia tripetala
Bees,Sapindus oahuensis
Diptera,Allium gooddingii
Sphingidae,Brunfelsia densifolia
Bees,Echinacea pallida
Self pollinated,Physalis grisea
Bees,Ceanothus crassifolius
Bees,Fothergilla major
Bees,Rosa woodsii
Colletidae,Purshia X subintegra
Conotelus,Magnolia grandiflora
Lepidoptera,Rhodiola integrifolia
Lepidoptera,Cornus rugosa
Diptera,Limonium vulgare
Bees,Rhus aromatica
Bees,Mimulus tricolor
Diadasia Rinconis,Opuntia phaeacantha
Hymenoptera,Capsicum frutescens
Bees,Coprosma pubens
Bees,Eriogonum heracleoides
Diptera,Prunus serotina
Self pollinated,Polygonatum multiflorum
Bombus impatiens,Agalinis decemloba
Bees,Echinacea purpurea
Bombus,Delphinium nuttallianum
Tachytes aurulentus,Asclepias verticillata
Lepidoptera,Spiraea douglasii
